outlet_id,source,tier,country,source_type,review_decision,rss_parsed,sitemap_parsed,rss_24h,sitemap_24h,total_24h,rss_unique_24h,sitemap_unique_24h,unique_24h,dedupe_rate,rss_url,sitemap_url,errors
bing-metro-tampa,Bing Metro: Tampa,2,US,portal,keep_secondary,5,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Tampa%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-tucson,Bing Metro: Tucson,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Tucson%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-tulsa,Bing Metro: Tulsa,2,US,portal,keep_secondary,1,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Tulsa%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-washington-dc,Bing Metro: Washington DC,2,US,portal,keep_secondary,4,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Washington%20DC%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-wichita,Bing Metro: Wichita,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Wichita%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-state-alabama,Bing State: Alabama,2,US,portal,keep_secondary,7,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Alabama%20business%20economy&format=RSS&setlang=en-us,,
bing-state-alaska,Bing State: Alaska,2,US,portal,keep_secondary,6,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Alaska%20business%20economy&format=RSS&setlang=en-us,,
bing-state-arizona,Bing State: Arizona,2,US,portal,keep_secondary,7,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Arizona%20business%20economy&format=RSS&setlang=en-us,,
bing-state-arkansas,Bing State: Arkansas,2,US,portal,keep_secondary,10,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Arkansas%20business%20economy&format=RSS&setlang=en-us,,
bing-state-colorado,Bing State: Colorado,2,US,portal,keep_secondary,11,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Colorado%20business%20economy&format=RSS&setlang=en-us,,
bing-state-delaware,Bing State: Delaware,2,US,portal,keep_secondary,1,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Delaware%20business%20economy&format=RSS&setlang=en-us,,
bing-state-florida,Bing State: Florida,2,US,portal,keep_secondary,9,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Florida%20business%20economy&format=RSS&setlang=en-us,,
bing-state-georgia,Bing State: Georgia,2,US,portal,keep_secondary,12,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Georgia%20business%20economy&format=RSS&setlang=en-us,,
bing-state-hawaii,Bing State: Hawaii,2,US,portal,keep_secondary,11,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Hawaii%20business%20economy&format=RSS&setlang=en-us,,
bing-state-idaho,Bing State: Idaho,2,US,portal,keep_secondary,6,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Idaho%20business%20economy&format=RSS&setlang=en-us,,
bing-state-indiana,Bing State: Indiana,2,US,portal,keep_secondary,7,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Indiana%20business%20economy&format=RSS&setlang=en-us,,
bing-state-iowa,Bing State: Iowa,2,US,portal,keep_secondary,11,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Iowa%20business%20economy&format=RSS&setlang=en-us,,
bing-state-kansas,Bing State: Kansas,2,US,portal,keep_secondary,5,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Kansas%20business%20economy&format=RSS&setlang=en-us,,
bing-state-louisiana,Bing State: Louisiana,2,US,portal,keep_secondary,12,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Louisiana%20business%20economy&format=RSS&setlang=en-us,,
bing-state-maine,Bing State: Maine,2,US,portal,keep_secondary,12,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Maine%20business%20economy&format=RSS&setlang=en-us,,
